date,AWND,PRCP,TMAX,TMIN,daily_consumption
2006-12-16,2.5,0.0,10.6,5.0,1209.176
2006-12-17,2.6,0.0,13.3,5.6,3390.46
2006-12-18,2.4,0.0,15.0,6.7,2203.826
2006-12-19,2.4,0.0,7.2,2.2,1666.194
2006-12-20,2.4,0.0,7.2,1.1,2225.748
2006-12-21,2.3,0.0,12.2,3.3,1716.624
2006-12-22,2.3,11.9,9.4,3.9,2341.338
2006-12-23,3.0,19.8,15.0,8.9,4773.386
2006-12-24,3.4,0.0,11.1,6.1,2550.012
2006-12-25,2.2,9.4,7.2,3.9,2743.12
2006-12-26,3.3,2.0,11.7,6.1,3934.11
2006-12-27,3.4,0.0,6.1,3.3,1528.76
2006-12-28,2.3,0.0,8.9,2.2,2072.638
2006-12-29,2.1,0.0,8.9,2.8,3174.392
2006-12-30,2.1,0.0,8.3,1.1,2789.302
2006-12-31,2.1,0.0,7.2,0.6,3494.196
2007-01-01,1.7,38.6,13.3,7.2,2749.004
2007-01-02,3.8,0.0,10.0,5.0,1269.236
2007-01-03,2.6,0.0,11.1,3.3,1014.054
2007-01-04,3.6,0.0,13.3,6.1,3259.412
2007-01-05,2.6,0.8,16.7,11.7,2713.364
2007-01-06,3.4,0.3,22.2,12.2,1508.378
2007-01-07,2.7,4.3,12.2,6.7,2447.62
2007-01-08,3.6,31.8,13.3,3.3,2241.36
2007-01-09,3.1,0.0,6.7,1.1,1869.054
2007-01-10,3.6,0.0,2.2,-1.7,2154.8
2007-01-11,2.6,0.0,3.3,-3.3,2255.194
2007-01-12,3.4,0.3,8.9,2.8,1461.296
2007-01-13,2.6,1.5,13.3,7.2,3186.814
2007-01-14,1.9,2.3,7.8,5.0,3007.816
2007-01-15,1.7,1.5,13.9,4.4,2148.678
2007-01-16,4.3,0.0,12.8,-5.6,1686.404
2007-01-17,2.9,0.0,-1.7,-7.2,2847.688
2007-01-18,1.4,2.3,2.8,-3.9,1821.462
2007-01-19,3.4,2.3,5.0,-0.6,1480.44
2007-01-20,5.1,0.3,0.0,-6.1,3133.732
2007-01-21,1.6,0.0,-1.7,-7.2,3407.262
2007-01-22,0.8,0.0,0.6,-2.8,2180.494
2007-01-23,2.8,0.0,2.2,-2.2,1777.64
2007-01-24,2.6,0.0,4.4,0.0,2987.854
2007-01-25,2.2,0.3,1.1,-9.4,1596.344
2007-01-26,1.0,0.0,-5.6,-12.8,1617.972
2007-01-27,1.7,0.3,5.0,-6.7,2044.072
2007-01-28,1.7,1.3,5.0,-1.1,3090.204
2007-01-29,3.9,0.3,-1.1,-6.1,1982.664
2007-01-30,2.2,2.5,1.7,-6.1,1707.798
2007-01-31,3.6,1.5,0.6,-3.9,2363.752
2007-02-01,2.4,0.0,1.1,-3.3,1824.76
2007-02-02,1.5,5.8,3.3,0.0,1667.736
2007-02-03,3.9,0.0,1.7,-5.0,4029.722
2007-02-04,4.5,0.0,-2.2,-8.3,3595.94
2007-02-05,5.0,0.0,-7.8,-13.3,1645.28
2007-02-06,4.0,0.0,-3.9,-11.7,1273.48
2007-02-07,3.4,0.0,-3.9,-11.1,2328.018
2007-02-08,3.8,0.0,-2.2,-10.0,1801.414
2007-02-09,4.8,0.0,0.0,-7.8,1620.198
2007-02-10,2.9,0.0,0.6,-5.0,2829.328
2007-02-11,2.6,0.0,0.6,-7.2,3571.228
2007-02-12,2.6,0.0,4.4,-2.2,1877.61
2007-02-13,3.6,0.8,0.0,-5.6,1414.546
2007-02-14,6.2,23.9,-1.7,-8.9,2498.672
2007-02-15,4.7,0.0,-4.4,-9.4,1985.346
2007-02-16,4.4,0.0,-1.7,-10.0,1702.528
2007-02-17,2.9,0.0,1.7,-7.2,2076.912
2007-02-18,3.4,0.0,1.1,-7.8,3829.762
2007-02-19,4.3,0.0,-1.1,-11.1,2186.614
2007-02-20,2.7,2.5,8.3,-1.7,3149.928
2007-02-21,1.3,0.3,9.4,3.9,2072.874
2007-02-22,2.4,5.3,7.2,2.2,3369.478
2007-02-23,5.2,0.0,3.9,-5.6,1313.48
2007-02-24,4.3,0.0,5.6,-6.7,714.922
2007-02-25,1.8,4.8,2.8,-4.4,501.74
2007-02-26,2.5,7.1,2.2,-1.1,568.484
2007-02-27,0.9,0.0,6.1,1.1,518.112
2007-02-28,2.2,0.0,7.8,1.7,520.774
2007-03-01,2.0,3.6,7.8,0.6,517.564
2007-03-02,3.2,61.2,14.4,1.7,515.688
2007-03-03,2.1,0.0,15.0,4.4,819.122
2007-03-04,3.9,0.0,4.4,0.6,2090.7
2007-03-05,4.5,0.0,5.0,-6.1,2660.332
2007-03-06,5.5,0.0,-6.1,-11.7,1246.5
2007-03-07,1.8,1.0,-5.0,-11.1,2375.206
2007-03-08,3.3,0.0,1.1,-7.8,1572.132
2007-03-09,2.0,0.0,1.7,-10.6,1272.612
2007-03-10,2.1,1.8,13.9,0.0,2484.712
2007-03-11,3.0,4.1,10.0,3.3,3480.636
2007-03-12,1.7,0.0,13.9,2.2,1950.668
2007-03-13,1.3,0.0,13.9,6.1,1290.144
2007-03-14,1.6,0.0,21.1,7.8,1793.364
2007-03-15,2.8,8.1,19.4,2.2,1884.814
2007-03-16,5.5,51.6,2.2,-3.3,1702.054
2007-03-17,3.9,0.8,3.3,-3.9,2028.09
2007-03-18,4.3,0.0,3.9,-2.8,2371.046
2007-03-19,2.9,0.0,6.1,-1.1,2152.518
2007-03-20,3.4,0.0,10.0,0.6,2086.228
2007-03-21,3.0,0.0,4.4,-3.3,2142.092
2007-03-22,2.9,0.5,19.4,4.4,1454.978
2007-03-23,1.6,2.3,16.1,10.6,1309.008
2007-03-24,2.6,0.8,12.2,5.6,2968.43
2007-03-25,2.6,0.0,12.2,3.3,3336.124
2007-03-26,2.6,0.0,12.2,3.9,1416.082
2007-03-27,2.4,0.3,25.6,10.0,1105.14
2007-03-28,2.6,0.0,18.3,7.2,2333.898
2007-03-29,2.7,0.0,13.9,3.3,1590.406
2007-03-30,1.7,0.0,20.0,3.9,1402.394
2007-03-31,2.2,0.0,15.6,6.1,3509.51
2007-04-01,2.4,1.5,10.0,5.6,2785.952
2007-04-02,1.9,1.5,13.3,5.6,1960.778
2007-04-03,2.1,0.0,17.2,5.6,1642.82
2007-04-04,3.2,21.6,5.6,4.4,2051.868
2007-04-05,4.1,0.0,6.7,1.1,1844.078
2007-04-06,2.4,0.0,5.6,-0.6,1601.14
2007-04-07,2.8,0.0,6.1,-0.6,1553.924
2007-04-08,3.7,0.0,5.0,-1.1,1608.816
2007-04-09,2.9,0.0,9.4,0.0,1000.92
2007-04-10,2.7,0.0,10.6,0.6,777.364
2007-04-11,2.1,0.0,10.0,2.2,887.482
2007-04-12,3.6,35.1,6.7,3.9,537.706
2007-04-13,4.5,0.0,9.4,5.6,551.022
2007-04-14,2.5,0.0,13.3,4.4,554.268
2007-04-15,3.2,192.3,12.8,4.4,726.164
2007-04-16,3.3,22.9,8.9,3.3,952.39
2007-04-17,4.2,1.0,10.6,5.6,1223.734
2007-04-18,3.3,0.0,10.6,5.6,998.246
2007-04-19,2.3,0.3,16.1,7.2,1028.658
2007-04-20,2.4,0.0,21.7,6.7,822.58
2007-04-21,1.0,0.0,26.1,7.2,1673.656
2007-04-22,1.4,0.0,25.6,12.8,2233.714
2007-04-23,2.8,0.0,30.0,14.4,1054.566
2007-04-24,2.7,0.0,24.4,14.4,1032.1
2007-04-25,3.1,3.6,19.4,8.3,1264.162
2007-04-26,2.1,0.0,16.1,7.8,1275.466
2007-04-27,1.4,51.8,13.3,8.3,1094.332
2007-04-28,1.8,0.0,21.7,12.2,22.738
2007-04-30,3.3,0.0,26.7,11.1,420.822
2007-05-01,1.6,8.1,21.7,10.6,1663.858
2007-05-02,1.7,2.5,20.0,10.0,1003.486
2007-05-03,1.3,0.0,22.2,10.6,1090.238
2007-05-04,1.7,0.0,21.7,10.0,998.128
2007-05-05,2.0,0.0,22.8,10.6,1563.052
2007-05-06,3.3,0.0,17.2,7.8,2102.104
2007-05-07,1.8,0.0,19.4,6.7,1643.664
2007-05-08,1.1,0.0,22.2,8.3,1789.292
2007-05-09,2.2,0.0,28.3,13.9,1665.736
2007-05-10,2.0,0.0,25.0,16.1,707.884
2007-05-11,0.8,4.8,25.0,15.6,979.154
2007-05-12,2.5,4.6,23.3,11.7,1441.566
2007-05-13,3.0,0.0,20.0,9.4,1634.738
2007-05-14,2.5,0.0,21.1,9.4,1467.782
2007-05-15,3.3,0.0,28.9,13.3,904.392
2007-05-16,2.6,21.1,29.4,15.0,1692.944
2007-05-17,2.0,0.0,20.6,12.2,1231.816
2007-05-18,3.2,0.0,12.2,8.9,1631.53
2007-05-19,1.7,5.3,13.9,10.0,1429.442
2007-05-20,2.9,0.5,23.9,10.6,1968.328
2007-05-21,1.8,0.0,21.7,11.7,1120.062
2007-05-22,1.8,0.0,24.4,11.7,1132.852
2007-05-23,1.6,0.0,23.3,12.8,1464.936
2007-05-24,2.8,0.0,28.9,14.4,1154.388
2007-05-25,2.0,0.0,32.2,17.8,1614.22
2007-05-26,1.8,0.0,29.4,21.7,1512.248
2007-05-27,1.5,0.8,30.0,18.9,2153.808
2007-05-28,1.8,0.0,28.3,19.4,1637.468
2007-05-29,1.3,0.0,26.7,16.1,1061.34
2007-05-30,0.8,0.0,28.9,16.1,1609.866
2007-05-31,2.0,0.0,32.8,17.8,938.55
2007-06-01,1.3,0.0,31.1,17.8,1044.918
2007-06-02,1.7,0.0,31.7,21.7,1484.362
2007-06-03,2.1,41.1,26.1,17.2,2108.026
2007-06-04,2.4,58.2,21.1,15.6,911.618
2007-06-05,2.7,0.0,27.2,18.9,1458.892
2007-06-06,2.2,0.0,21.7,13.3,1693.638
2007-06-07,0.9,0.0,23.9,12.2,985.002
2007-06-08,1.1,0.0,29.4,17.8,2148.046
2007-06-09,2.6,0.3,27.8,18.3,1059.814
2007-06-10,1.0,0.0,22.2,16.7,1340.812
2007-06-11,1.9,0.8,28.9,17.2,794.654
2007-06-12,1.0,30.0,28.3,18.3,918.766
2007-06-13,3.1,0.0,18.9,13.9,927.272
2007-06-14,2.4,0.0,17.8,13.3,1259.084
2007-06-15,1.6,0.0,23.3,15.0,989.604
2007-06-16,1.3,1.0,27.2,15.6,2017.762
2007-06-17,1.7,0.0,30.0,18.9,1947.09
2007-06-18,1.8,0.0,28.9,20.0,678.474
2007-06-19,1.6,8.4,26.7,18.9,842.36
2007-06-20,2.1,3.6,25.6,19.4,1074.286
2007-06-21,2.1,4.6,26.7,15.6,806.946
2007-06-22,2.9,0.0,23.3,16.1,566.294
2007-06-23,2.0,0.0,23.3,13.3,477.566
2007-06-24,1.4,0.0,27.2,13.9,714.656
2007-06-25,1.8,0.0,26.7,19.4,1072.202
2007-06-26,2.0,0.0,32.8,22.2,944.908
2007-06-27,1.7,17.5,32.2,21.1,1480.826
2007-06-28,2.3,0.8,30.6,21.1,1295.438
2007-06-29,1.2,0.0,25.0,19.4,1304.198
2007-06-30,1.3,0.3,27.2,17.2,1335.314
2007-07-01,2.3,0.0,23.3,16.1,1026.664
2007-07-02,1.3,0.0,23.3,13.9,967.032
2007-07-03,1.4,0.0,26.7,15.6,1059.912
2007-07-04,2.6,1.8,21.7,18.3,1003.41
2007-07-05,2.1,33.0,25.6,19.4,1057.29
2007-07-06,1.2,0.8,28.3,19.4,1069.524
2007-07-07,1.7,0.0,29.4,19.4,1358.206
2007-07-08,2.3,0.0,31.7,21.7,1089.08
2007-07-09,1.7,0.0,33.3,24.4,1180.158
2007-07-10,1.6,0.0,33.3,23.3,908.324
2007-07-11,1.5,25.7,29.4,21.1,722.352
2007-07-12,2.2,0.0,26.7,18.9,1069.582
2007-07-13,1.7,0.0,27.2,20.6,794.382
2007-07-14,1.3,0.0,28.9,18.9,1288.17
2007-07-15,2.1,0.3,31.1,22.2,917.024
2007-07-16,1.6,0.0,27.8,21.7,853.674
2007-07-17,0.9,0.0,31.1,20.6,719.632
2007-07-18,1.4,40.4,25.6,20.6,757.082
2007-07-19,1.5,4.8,28.3,21.1,677.886
2007-07-20,3.0,0.0,25.6,19.4,1110.422
2007-07-21,2.4,0.0,27.8,17.2,1060.248
2007-07-22,2.2,0.0,28.3,20.0,1375.774
2007-07-23,3.5,58.7,22.2,15.6,991.018
2007-07-24,1.6,0.0,27.2,14.4,825.284
2007-07-25,0.9,0.0,28.3,19.4,472.56
2007-07-26,1.2,0.0,29.4,21.7,924.5
2007-07-27,1.6,0.0,28.9,21.7,1202.514
2007-07-28,1.3,0.0,28.9,21.7,1621.862
2007-07-29,0.9,9.7,26.7,22.2,321.116
2007-07-30,0.9,0.0,30.0,21.1,466.816
2007-07-31,1.1,0.0,30.6,22.2,812.332
2007-08-01,1.2,0.0,32.2,21.7,1060.338
2007-08-02,1.3,0.0,33.3,23.9,1019.416
2007-08-03,2.0,29.2,32.2,18.9,1063.364
2007-08-04,1.3,0.3,31.7,20.6,1144.99
2007-08-05,2.5,0.0,29.4,21.1,787.098
2007-08-06,1.4,0.0,28.3,22.2,1089.72
2007-08-07,0.7,0.0,31.7,23.9,1483.58
2007-08-08,2.4,63.5,32.2,22.8,1125.482
2007-08-09,2.0,0.0,28.3,22.2,1071.68
2007-08-10,3.2,32.5,22.2,13.9,1028.01
2007-08-11,1.5,0.0,27.2,13.9,1091.65
2007-08-12,1.0,0.0,29.4,20.0,1241.904
2007-08-13,2.3,1.0,28.9,21.1,1153.012
2007-08-14,1.3,0.0,27.2,18.3,941.19
2007-08-15,2.3,0.0,28.9,19.4,1191.86
2007-08-16,1.2,0.3,28.3,23.3,958.496
2007-08-17,1.4,18.8,29.4,16.7,1009.892
2007-08-18,2.6,0.0,23.3,15.0,347.96
2007-08-19,0.5,3.0,21.7,15.6,1422.294
2007-08-20,3.1,1.5,20.6,14.4,1338.842
2007-08-21,3.4,32.3,15.0,13.3,642.556
2007-08-22,1.6,0.0,18.3,13.3,1209.808
2007-08-23,0.6,0.0,23.9,16.7,1112.312
2007-08-24,1.0,0.0,28.3,18.9,1656.214
2007-08-25,1.3,0.0,30.6,22.8,1150.88
2007-08-26,1.6,0.0,26.7,22.2,1314.906
2007-08-27,1.9,0.0,28.3,19.4,1211.73
2007-08-28,0.6,0.0,28.3,20.0,997.004
2007-08-29,0.9,0.0,29.4,19.4,747.992
2007-08-30,1.0,0.0,30.0,21.1,1202.458
2007-08-31,2.2,0.0,25.6,20.6,1279.822
2007-09-01,3.0,0.0,26.1,17.8,1701.486
2007-09-02,1.3,0.0,25.6,14.4,1662.468
2007-09-03,2.4,0.0,27.8,17.8,1038.922
2007-09-04,1.8,0.0,28.3,20.6,1584.944
2007-09-05,1.3,0.0,26.1,18.3,1236.572
2007-09-06,1.3,0.0,26.7,19.4,901.474
2007-09-07,2.2,0.0,30.0,21.1,1336.496
2007-09-08,2.3,0.0,31.1,21.7,1469.752
2007-09-09,2.0,0.0,29.4,21.7,1679.502
2007-09-10,1.4,3.3,26.1,22.8,1117.376
2007-09-11,2.1,30.7,23.3,20.6,983.572
2007-09-12,2.4,0.0,23.9,16.7,1287.764
2007-09-13,0.8,0.0,23.3,14.4,1146.382
2007-09-14,1.5,0.0,23.3,17.8,1135.47
2007-09-15,2.3,2.0,20.6,12.8,1095.312
2007-09-16,1.1,0.0,18.9,10.0,1652.224
2007-09-17,1.5,0.0,20.6,10.6,1461.186
2007-09-18,1.5,0.0,21.1,11.7,1167.52
2007-09-19,0.8,0.0,24.4,13.3,1298.684
2007-09-20,0.8,0.0,27.8,15.6,1255.532
2007-09-21,0.8,0.0,27.8,17.2,1238.78
2007-09-22,0.6,7.9,23.9,18.3,1176.172
2007-09-23,1.3,0.0,25.6,16.7,1417.97
2007-09-24,1.3,0.0,26.1,14.4,1354.53
2007-09-25,2.5,0.0,29.4,17.2,1764.342
2007-09-26,2.3,0.0,30.6,20.6,1822.264
2007-09-27,1.7,0.0,27.8,21.7,1392.6
2007-09-28,2.1,2.0,24.4,16.1,1680.498
2007-09-29,2.2,0.0,24.4,14.4,2296.522
2007-09-30,1.6,0.0,22.2,13.3,1516.29
2007-10-01,1.2,0.0,20.6,15.0,1720.922
2007-10-02,1.6,0.0,23.9,14.4,2198.864
2007-10-03,1.0,0.8,25.6,18.3,1280.454
2007-10-04,0.8,0.0,28.9,20.6,1518.458
2007-10-05,0.7,0.0,28.3,19.4,1394.092
2007-10-06,1.1,0.0,28.3,18.9,1756.24
2007-10-07,1.7,0.0,27.8,19.4,2106.114
2007-10-08,1.9,0.0,30.6,19.4,1095.242
2007-10-09,2.6,13.2,26.1,15.6,1687.858
2007-10-10,1.7,4.1,20.6,16.1,1166.972
2007-10-11,2.7,37.6,19.4,15.0,1732.446
2007-10-12,3.5,2.0,15.6,8.9,1914.504
2007-10-13,2.0,0.0,17.2,7.2,1926.728
2007-10-14,2.1,0.0,18.9,9.4,2061.252
2007-10-15,1.2,0.0,19.4,9.4,1266.33
2007-10-16,0.3,0.0,21.1,13.3,1964.442
2007-10-17,0.5,0.0,22.8,14.4,1576.93
2007-10-18,1.2,0.0,25.0,17.2,1518.53
2007-10-19,1.9,9.7,22.8,18.3,2085.648
2007-10-20,2.6,0.8,21.1,15.6,1660.246
2007-10-21,2.1,0.0,23.3,13.3,1941.94
2007-10-22,2.0,0.0,24.4,15.0,1652.896
2007-10-23,2.7,0.3,25.6,18.9,1954.648
2007-10-24,2.1,4.1,19.4,11.1,1865.636
2007-10-25,3.3,3.6,13.9,9.4,1853.918
2007-10-26,3.3,11.7,14.4,11.1,1437.568
2007-10-27,2.5,30.5,19.4,13.3,1785.688
2007-10-28,3.0,0.0,13.3,6.1,512.158
2007-10-29,1.3,0.0,11.7,3.3,545.428
2007-10-30,1.3,0.0,16.7,7.8,811.008
2007-10-31,2.0,0.0,17.8,9.4,1283.21
2007-11-01,0.0,0.0,18.9,10.0,496.216
2007-11-02,3.9,0.0,12.8,7.2,1443.602
2007-11-03,4.2,0.0,10.6,7.2,492.55
2007-11-04,1.8,0.0,13.3,7.2,1485.686
2007-11-05,1.9,0.0,13.9,6.7,1500.592
2007-11-06,2.9,13.2,13.3,6.1,2082.378
2007-11-07,2.3,0.0,9.4,3.9,1844.758
2007-11-08,0.6,0.0,7.8,1.7,1501.06
2007-11-09,1.5,10.4,6.7,3.9,2171.226
2007-11-10,2.4,3.3,7.8,2.8,2611.6
2007-11-11,1.6,0.0,7.8,-0.6,1887.124
2007-11-12,1.1,2.8,10.0,3.3,2156.146
2007-11-13,1.3,5.6,15.0,8.3,2214.398
2007-11-14,1.0,0.0,14.4,7.2,2047.994
2007-11-15,2.5,9.7,17.2,6.1,1491.988
2007-11-16,4.4,0.0,8.3,2.8,2309.754
2007-11-17,2.2,0.0,7.8,1.7,2610.094
2007-11-18,3.1,0.0,6.7,3.9,2183.858
2007-11-19,3.4,6.9,6.7,1.1,1723.654
2007-11-20,1.8,2.8,8.9,4.4,2095.856
2007-11-21,0.8,0.0,14.4,6.1,1751.836
2007-11-22,2.1,0.8,18.9,4.4,1932.378
2007-11-23,3.4,0.0,4.4,-1.1,2522.618
2007-11-24,1.7,0.0,3.9,-3.3,1899.054
2007-11-25,1.8,0.0,9.4,1.1,1395.598
2007-11-26,1.0,31.8,16.7,4.4,1569.716
2007-11-27,3.5,0.8,17.8,6.1,2801.012
2007-11-28,2.1,0.0,7.2,1.7,1644.94
2007-11-29,2.8,0.3,10.6,5.0,1719.23
2007-11-30,2.6,0.0,5.6,1.7,2331.728
2007-12-01,3.2,0.0,3.3,-3.9,3134.942
2007-12-02,1.4,8.4,2.2,-6.7,2946.188
2007-12-03,4.3,7.9,8.3,0.0,1762.06
2007-12-04,4.4,0.0,1.1,-2.2,2067.636
2007-12-05,1.9,0.5,0.6,-2.2,2153.12
2007-12-06,2.1,0.0,0.6,-6.1,2487.934
2007-12-07,1.6,0.0,1.7,-2.2,1769.016
2007-12-08,1.9,0.0,6.7,1.1,2213.404
